id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,annee,homme,femme,source
1,Mali,Kayes,Kayes,Bangassi,1998,3351,3263,RGPH
2,Mali,Kayes,Kayes,Colimbine,1998,4828,4913,RGPH
3,Mali,Kayes,Kayes,Diamou,1998,6361,6189,RGPH
4,Mali,Kayes,Kayes,Djelebou,1998,7903,8403,RGPH
5,Mali,Kayes,Kayes,Faleme,1998,3232,3309,RGPH
6,Mali,Kayes,Kayes,Fegui,1998,1333,1355,RGPH
7,Mali,Kayes,Kayes,Gory Gopela,1998,2682,2614,RGPH
8,Mali,Kayes,Kayes,Goumera,1998,1295,1294,RGPH
9,Mali,Kayes,Kayes,Guidimakan Keri Kaff,1998,6713,7521,RGPH
10,Mali,Kayes,Kayes,Hawa Dembaya,1998,2517,2601,RGPH
11,Mali,Kayes,Kayes,Karakoro,1998,5461,6216,RGPH
12,Mali,Kayes,Kayes,Kayes Commune,1998,34236,33188,RGPH
13,Mali,Kayes,Kayes,Kemene Tambo,1998,6564,6702,RGPH
14,Mali,Kayes,Kayes,Khouloum,1998,4377,4563,RGPH
15,Mali,Kayes,Kayes,Koniakary,1998,3371,3652,RGPH
16,Mali,Kayes,Yelimane,Konsiga,1998,1371,1653,RGPH
17,Mali,Kayes,Kayes,Koussane,1998,6716,7460,RGPH
18,Mali,Kayes,Kayes,Liberte Dembaya,1998,3722,3518,RGPH
19,Mali,Kayes,Kayes,Logo,1998,4743,5224,RGPH
20,Mali,Kayes,Kayes,Marena Diombougou,1998,6023,6880,RGPH
21,Mali,Kayes,Kayes,Marintoumania,1998,2797,2908,RGPH
22,Mali,Kayes,Kayes,Sadiola,1998,9997,9450,RGPH
23,Mali,Kayes,Kayes,Sahel,1998,3518,3914,RGPH
24,Mali,Kayes,Kayes,Same Diomboma,1998,4649,4595,RGPH
25,Mali,Kayes,Kayes,Segala,1998,9334,9433,RGPH
26,Mali,Kayes,Kayes,Sero Diamanou,1998,7969,8123,RGPH
27,Mali,Kayes,Kayes,Somankidy,1998,2301,2483,RGPH
28,Mali,Kayes,Kayes,Sony,1998,3037,3291,RGPH
29,Mali,Kayes,Kayes,Tafacirga,1998,2788,3011,RGPH
30,Mali,Kayes,Bafoulabe,Bafoulabe,1998,7624,7761,RGPH
31,Mali,Kayes,Bafoulabe,Bamafele,1998,6349,6195,RGPH
32,Mali,Kayes,Bafoulabe,Diakon,1998,11343,12798,RGPH
33,Mali,Kayes,Bafoulabe,Diallan,1998,4916,5230,RGPH
34,Mali,Kayes,Bafoulabe,Diokeli,1998,4837,5056,RGPH
35,Mali,Kayes,Bafoulabe,Gounfan,1998,2234,2189,RGPH
36,Mali,Kayes,Bafoulabe,Kontela,1998,7086,7904,RGPH
37,Mali,Kayes,Bafoulabe,Koundian,1998,5399,5571,RGPH
38,Mali,Kayes,Bafoulabe,Mahina,1998,9532,9538,RGPH
39,Mali,Kayes,Bafoulabe,Niambia,1998,2290,2255,RGPH
40,Mali,Kayes,Bafoulabe,Oualia,1998,7129,7588,RGPH
41,Mali,Kayes,Bafoulabe,Sidibela,1998,2461,2685,RGPH
42,Mali,Kayes,Bafoulabe,Tomora,1998,10661,12100,RGPH
43,Mali,Kayes,Diema,Bema,1998,9374,10290,RGPH
44,Mali,Kayes,Diema,Diangounte Camara,1998,9657,10762,RGPH
45,Mali,Kayes,Diema,Dianguirde,1998,4150,4480,RGPH
46,Mali,Kayes,Diema,Diema,1998,9362,9935,RGPH
47,Mali,Kayes,Diema,Dieoura,1998,3831,4090,RGPH
