id,admin0_nom,admin1_nom,admin2_nom,Admin3_Nam,annee,homme,femme,source
1,Mali,Kayes,Kayes,Bangassi,2009,6123,5974,RGPH
2,Mali,Kayes,Kayes,Colimbine,2009,6144,6353,RGPH
3,Mali,Kayes,Kayes,Diamou,2009,7115,7015,RGPH
4,Mali,Kayes,Kayes,Djelebou,2009,11466,12091,RGPH
5,Mali,Kayes,Kayes,Faleme,2009,5141,5017,RGPH
6,Mali,Kayes,Kayes,Fegui,2009,1999,1934,RGPH
7,Mali,Kayes,Kayes,Gory Gopela,2009,3939,3927,RGPH
8,Mali,Kayes,Kayes,Goumera,2009,1918,1903,RGPH
9,Mali,Kayes,Kayes,Guidimakan Keri Kaff,2009,9798,10234,RGPH
10,Mali,Kayes,Kayes,Hawa Dembaya,2009,3406,3445,RGPH
11,Mali,Kayes,Kayes,Karakoro,2009,7436,7770,RGPH
12,Mali,Kayes,Kayes,Kayes Commune,2009,65135,61184,RGPH
13,Mali,Kayes,Kayes,Kemene Tambo,2009,8381,8574,RGPH
14,Mali,Kayes,Kayes,Khouloum,2009,9734,9260,RGPH
15,Mali,Kayes,Kayes,Koniakary,2009,4061,4080,RGPH
16,Mali,Kayes,Yelimane,Konsiga,2009,2308,2620,RGPH
17,Mali,Kayes,Kayes,Koussane,2009,10472,11118,RGPH
18,Mali,Kayes,Kayes,Liberte Dembaya,2009,7487,6879,RGPH
19,Mali,Kayes,Kayes,Logo,2009,6022,5967,RGPH
20,Mali,Kayes,Kayes,Marena Diombougou,2009,8996,9676,RGPH
21,Mali,Kayes,Kayes,Marintoumania,2009,4001,4060,RGPH
22,Mali,Kayes,Kayes,Sadiola,2009,20514,18895,RGPH
23,Mali,Kayes,Kayes,Sahel,2009,6038,6189,RGPH
24,Mali,Kayes,Kayes,Same Diomboma,2009,6245,6166,RGPH
25,Mali,Kayes,Kayes,Segala,2009,12882,12921,RGPH
26,Mali,Kayes,Kayes,Sero Diamanou,2009,11612,11727,RGPH
27,Mali,Kayes,Kayes,Somankidy,2009,3357,3558,RGPH
28,Mali,Kayes,Kayes,Sony,2009,4339,4368,RGPH
29,Mali,Kayes,Kayes,Tafacirga,2009,4634,4492,RGPH
30,Mali,Kayes,Bafoulabe,Bafoulabe,2009,9824,9942,RGPH
31,Mali,Kayes,Bafoulabe,Bamafele,2009,8147,8033,RGPH
32,Mali,Kayes,Bafoulabe,Diakon,2009,16056,17700,RGPH
33,Mali,Kayes,Bafoulabe,Diallan,2009,7285,7410,RGPH
34,Mali,Kayes,Bafoulabe,Diokeli,2009,6572,6525,RGPH
35,Mali,Kayes,Bafoulabe,Gounfan,2009,3563,3435,RGPH
36,Mali,Kayes,Bafoulabe,Kontela,2009,10374,11136,RGPH
37,Mali,Kayes,Bafoulabe,Koundian,2009,6735,7122,RGPH
38,Mali,Kayes,Bafoulabe,Mahina,2009,12976,12926,RGPH
39,Mali,Kayes,Bafoulabe,Niambia,2009,3715,3716,RGPH
40,Mali,Kayes,Bafoulabe,Oualia,2009,10173,10514,RGPH
41,Mali,Kayes,Bafoulabe,Sidibela,2009,3603,3954,RGPH
42,Mali,Kayes,Bafoulabe,Tomora,2009,15584,16627,RGPH
43,Mali,Kayes,Diema,Bema,2009,12326,13103,RGPH
44,Mali,Kayes,Diema,Diangounte Camara,2009,13541,14926,RGPH
45,Mali,Kayes,Diema,Dianguirde,2009,5862,6126,RGPH
46,Mali,Kayes,Diema,Diema,2009,15079,15391,RGPH
47,Mali,Kayes,Diema,Dieoura,2009,5508,6253,RGPH
48,Mali,Kayes,Diema,Dioumara Koussata,2009,3745,4118,RGPH
49,Mali,Kayes,Diema,Fassou Debe,2009,2663,2807,RGPH
50,Mali,Kayes,Diema,Fatao,2009,3848,4491,RGPH
51,Mali,Kayes,Diema,Gomitradougou,2009,3638,3658,RGPH
52,Mali,Kayes,Diema,Groumera,2009,5457,6062,RGPH
53,Mali,Kayes,Diema,Guedebine,2009,2550,2539,RGPH
54,Mali,Kayes,Diema,Lakamane,2009,7855,8109,RGPH
55,Mali,Kayes,Diema,Lambidou,2009,7030,7761,RGPH
56,Mali,Kayes,Diema,Madiga Sacko,2009,6695,7241,RGPH
57,Mali,Kayes,Diema,Sansankide,2009,2435,2538,RGPH
58,Mali,Kayes,Kenieba,Baye,2009,19413,19322,RGPH
59,Mali,Kayes,Kenieba,Dabia,2009,7334,7845,RGPH
60,Mali,Kayes,Kenieba,Dialafara,2009,9030,8931,RGPH
61,Mali,Kayes,Kenieba,Dombia,2009,3662,3920,RGPH
62,Mali,Kayes,Kenieba,Falea,2009,8651,8794,RGPH
63,Mali,Koulikouro,Kati,Faraba,2009,6184,6173,RGPH
64,Mali,Kayes,Kenieba,Faraba,2009,3844,3928,RGPH
65,Mali,Kayes,Kenieba,Guenegore,2009,3248,3339,RGPH
66,Mali,Kayes,Kenieba,Kassama,2009,9503,9959,RGPH
67,Mali,Kayes,Kenieba,Kenieba,2009,17884,17767,RGPH
68,Mali,Kayes,Kenieba,Kouroukoto,2009,5069,5251,RGPH
69,Mali,Kayes,Kenieba,Sagalo,2009,6728,7560,RGPH
70,Mali,Kayes,Kenieba,Sitakily,2009,16144,14010,RGPH
71,Mali,Kayes,Kita,Badia,2009,3487,3650,RGPH
72,Mali,Kayes,Kita,Bendougouba,2009,5882,6043,RGPH
73,Mali,Kayes,Kita,Benkadi Founia,2009,4627,4657,RGPH
74,Mali,Kayes,Kita,Boudofo,2009,2263,2214,RGPH
75,Mali,Kayes,Kita,Bougarybaya,2009,4831,5254,RGPH
76,Mali,Kayes,Kita,Dindanko,2009,4927,5020,RGPH
77,Mali,Kayes,Kita,Djidian,2009,7883,8509,RGPH
78,Mali,Kayes,Kita,Djougoun,2009,4012,4420,RGPH
79,Mali,Kayes,Kita,Gadougou 1,2009,12510,12865,RGPH
80,Mali,Kayes,Kita,Gadougou 2,2009,4506,4765,RGPH
81,Mali,Kayes,Kita,Guemoukouraba,2009,4816,5313,RGPH
82,Mali,Kayes,Kita,Kassaro,2009,10673,10933,RGPH
83,Mali,Kayes,Kita,Kita Commune,2009,24054,24989,RGPH
84,Mali,Kayes,Kita,Kita Nord,2009,4.34E+03,4232,RGPH
85,Mali,Kayes,Kita,Kita Ouest,2009,8199,8563,RGPH
86,Mali,Kayes,Kita,Kobri,2009,7472,7732,RGPH
87,Mali,Kayes,Kita,Kokofata,2009,10862,11222,RGPH
88,Mali,Kayes,Kita,Kotouba,2009,2917,2901,RGPH
89,Mali,Kayes,Kita,Koulou,2009,5126,5406,RGPH
90,Mali,Kayes,Kita,Kourounikoto,2009,2799,2706,RGPH
91,Mali,Kayes,Kita,Madina,2009,6876,7149,RGPH
92,Mali,Kayes,Kita,Makano,2009,5485,5544,RGPH
93,Mali,Kayes,Kita,Namala Guimba,2009,5910,6004,RGPH
94,Mali,Kayes,Kita,Niantanso,2009,2542,2588,RGPH
95,Mali,Kayes,Kita,Saboula,2009,3031,3153,RGPH
96,Mali,Kayes,Kita,Sebekoro,2009,16275,16540,RGPH
97,Mali,Kayes,Kita,Sefeto Nord,2009,5425,6133,RGPH
98,Mali,Kayes,Kita,Sefeto Ouest,2009,8308,9149,RGPH
99,Mali,Kayes,Kita,Senko,2009,4115,4166,RGPH
100,Mali,Kayes,Kita,Sirakoro,2009,5169,5429,RGPH
101,Mali,Kayes,Kita,Souransan Tomoto,2009,4163,4357,RGPH
102,Mali,Kayes,Kita,Tambaga,2009,5333,5149,RGPH
103,Mali,Kayes,Kita,Toukoto,2009,3399,3563,RGPH
104,Mali,Kayes,Nioro,Baniere Kore,2009,4519,4930,RGPH
105,Mali,Kayes,Nioro,Diabigue,2009,4492,4916,RGPH
106,Mali,Kayes,Nioro,Diarra,2009,3424,3713,RGPH
107,Mali,Kayes,Nioro,Diaye Coura,2009,6556,7161,RGPH
108,Mali,Kayes,Nioro,Gavinane,2009,7676,8003,RGPH
109,Mali,Kayes,Nioro,Gogui,2009,6186,6761,RGPH
110,Mali,Kayes,Nioro,Guetema,2009,4484,4848,RGPH
111,Mali,Kayes,Nioro,Kadiaba Kadiel,2009,4982,4944,RGPH
112,Mali,Kayes,Nioro,Korera Kore,2009,9453,9974,RGPH
113,Mali,Kayes,Nioro,Nioro Commune,2009,17258,16433,RGPH
114,Mali,Kayes,Nioro,Nioro Tougoune Ranga,2009,6410,6791,RGPH
115,Mali,Kayes,Nioro,Sandare,2009,12597,13019,RGPH
116,Mali,Kayes,Nioro,Simbi,2009,9786,10307,RGPH
117,Mali,Kayes,Nioro,Troungoumbe,2009,5981,6507,RGPH
118,Mali,Kayes,Nioro,Yerere,2009,6567,6920,RGPH
119,Mali,Kayes,Nioro,Youri,2009,3351,3765,RGPH
120,Mali,Kayes,Yelimane,Diafounou Diongaga,2009,4663,5015,RGPH
121,Mali,Kayes,Yelimane,Diafounou Gory,2009,9659,10591,RGPH
122,Mali,Kayes,Yelimane,Fanga,2009,3862,4071,RGPH
