id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
1,Mali,Kayes,Kayes,Bangassi,3351,6123,3263,5974,RGPH
2,Mali,Kayes,Kayes,Colimbine,4828,6144,4913,6353,RGPH
3,Mali,Kayes,Kayes,Diamou,6361,7115,6189,7015,RGPH
4,Mali,Kayes,Kayes,Djelebou,7903,11466,8403,12091,RGPH
5,Mali,Kayes,Kayes,Faleme,3232,5141,3309,5017,RGPH
6,Mali,Kayes,Kayes,Fegui,1333,1999,1355,1934,RGPH
7,Mali,Kayes,Kayes,Gory Gopela,2682,3939,2614,3927,RGPH
8,Mali,Kayes,Kayes,Goumera,1295,1918,1294,1903,RGPH
9,Mali,Kayes,Kayes,Guidimakan Keri Kaff,6713,9798,7521,10234,RGPH
10,Mali,Kayes,Kayes,Hawa Dembaya,2517,3406,2601,3445,RGPH
11,Mali,Kayes,Kayes,Karakoro,5461,7436,6216,7770,RGPH
12,Mali,Kayes,Kayes,Kayes Commune,34236,65135,33188,61184,RGPH
13,Mali,Kayes,Kayes,Kemene Tambo,6564,8381,6702,8574,RGPH
14,Mali,Kayes,Kayes,Khouloum,4377,9734,4563,9260,RGPH
15,Mali,Kayes,Kayes,Koniakary,3371,4061,3652,4080,RGPH
16,Mali,Kayes,Yelimane,Konsiga,1371,2308,1653,2620,RGPH
17,Mali,Kayes,Kayes,Koussane,6716,10472,7460,11118,RGPH
18,Mali,Kayes,Kayes,Liberte Dembaya,3722,7487,3518,6879,RGPH
19,Mali,Kayes,Kayes,Logo,4743,6022,5224,5967,RGPH
20,Mali,Kayes,Kayes,Marena Diombougou,6023,8996,6880,9676,RGPH
21,Mali,Kayes,Kayes,Marintoumania,2797,4001,2908,4060,RGPH
22,Mali,Kayes,Kayes,Sadiola,9997,20514,9450,18895,RGPH
23,Mali,Kayes,Kayes,Sahel,3518,6038,3914,6189,RGPH
24,Mali,Kayes,Kayes,Same Diomboma,4649,6245,4595,6166,RGPH
25,Mali,Kayes,Kayes,Segala,9334,12882,9433,12921,RGPH
26,Mali,Kayes,Kayes,Sero Diamanou,7969,11612,8123,11727,RGPH
27,Mali,Kayes,Kayes,Somankidy,2301,3357,2483,3558,RGPH
28,Mali,Kayes,Kayes,Sony,3037,4339,3291,4368,RGPH
29,Mali,Kayes,Kayes,Tafacirga,2788,4634,3011,4492,RGPH
30,Mali,Kayes,Bafoulabe,Bafoulabe,7624,9824,7761,9942,RGPH
31,Mali,Kayes,Bafoulabe,Bamafele,6349,8147,6195,8033,RGPH
32,Mali,Kayes,Bafoulabe,Diakon,11343,16056,12798,17700,RGPH
