Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Kayes,ML0103,Bangassi,ML010301,2009,6123,5974,12097,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Colimbine,ML010302,2009,6144,6353,12497,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Diamou,ML010303,2009,7115,7015,14130,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Djelebou,ML010304,2009,11466,12091,23557,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Faleme,ML010305,2009,5141,5017,10158,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Fegui,ML010306,2009,1999,1934,3933,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Gory Gopela,ML010307,2009,3939,3927,7866,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Goumera,ML010308,2009,1918,1903,3821,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Guidimakan Keri Kaff,ML010309,2009,9798,10234,20032,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Hawa Dembaya,ML010310,2009,3406,3445,6851,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Karakoro,ML010311,2009,7436,7770,15206,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Kayes Commune,ML010312,2009,65135,61184,126319,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Kemene Tambo,ML010313,2009,8381,8574,16955,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Khouloum,ML010314,2009,9734,9260,18994,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Koniakary,ML010315,2009,4061,4080,8141,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Konsiga,ML010707,2009,2308,2620,4928,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Koussane,ML010316,2009,10472,11118,21590,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Liberte Dembaya,ML010317,2009,7487,6879,14366,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Logo,ML010318,2009,6022,5967,11989,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Marena Diombougou,ML010319,2009,8996,9676,18672,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Marintoumania,ML010320,2009,4001,4060,8061,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sadiola,ML010321,2009,20514,18895,39409,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sahel,ML010322,2009,6038,6189,12227,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Same Diomboma,ML010323,2009,6245,6166,12411,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Segala,ML010324,2009,12882,12921,25803,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sero Diamanou,ML010325,2009,11612,11727,23339,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Somankidy,ML010326,2009,3357,3558,6915,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sony,ML010327,2009,4339,4368,8707,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Tafacirga,ML010328,2009,4634,4492,9126,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,2009,9824,9942,19766,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bamafele,ML010102,2009,8147,8033,16180,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,2009,16056,17700,33756,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,2009,7285,7410,14695,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diokeli,ML010105,2009,6572,6525,13097,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Gounfan,ML010106,2009,3563,3435,6998,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Kontela,ML010107,2009,10374,11136,21510,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Koundian,ML010108,2009,6735,7122,13857,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Mahina,ML010109,2009,12976,12926,25902,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Niambia,ML010110,2009,3715,3716,7431,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Oualia,ML010111,2009,10173,10514,20687,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Sidibela,ML010112,2009,3603,3954,7557,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Tomora,ML010113,2009,15584,16627,32211,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Bema,ML010201,2009,12326,13103,25429,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Diangounte Camara,ML010202,2009,13541,14926,28467,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Dianguirde,ML010203,2009,5862,6126,11988,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Diema,ML010204,2009,15079,15391,30470,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Dieoura,ML010205,2009,5508,6253,11761,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Dioumara Koussata,ML010206,2009,3745,4118,7863,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Fassou Debe,ML010207,2009,2663,2807,5470,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Fatao,ML010208,2009,3848,4491,8339,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Gomitradougou,ML010209,2009,3638,3658,7296,RGPH
Mali,ML,Kayes,ML01,Diema,ML0102,Groumera,ML010210,2009,5457,6062,11519,RGPH
