Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Tomora,ML010113,2017,21600,20245,41845,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Sidibela,ML010112,2017,5136,4680,9816,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Niambia,ML010110,2017,4827,4826,9653,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Kontela,ML010107,2017,14467,13477,27944,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,2017,9626,9464,19090,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,2017,22994,20859,43853,OCHA
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,2017,12916,12762,25678,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,2017,18201,20973,39174,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,2017,9821,8740,18561,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,2017,4337,4219,8556,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Baye,ML010401,2017,9682,9348,19030,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,2017,32464,31249,63713,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Niantanso,ML010524,2017,3362,3302,6664,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,2017,6479,6258,12737,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Makano,ML010522,2017,7202,7125,14327,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,2017,10993,10962,21955,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,2017,10695,10389,21084,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,2017,11502,11488,22990,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Tiemala Banimonotie,ML030122,2017,11096,10694,21790,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,2017,8139,8204,16343,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Dinandougou,ML020601,2017,14017,13734,27751,OCHA
Mali,ML,Segou,ML04,Baroueli,ML0401,Boidie,ML040102,2017,14386,14269,28655,OCHA
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Nyamina,ML020606,2017,23232,23262,46494,OCHA
