annee,id,groupage,sexe,milieu,population,source,office
1976,1,0-4,Homme,Urbain,100416,RGPH,DNSI
1976,2,5-9,Homme,Urbain,80816,RGPH,DNSI
1976,3,10-14,Homme,Urbain,60647,RGPH,DNSI
1976,4,15-19,Homme,Urbain,58662,RGPH,DNSI
1976,5,20-24,Homme,Urbain,46239,RGPH,DNSI
1976,6,25-29,Homme,Urbain,36390,RGPH,DNSI
1976,7,30-34,Homme,Urbain,30895,RGPH,DNSI
1976,8,35-39,Homme,Urbain,27926,RGPH,DNSI
1976,9,40-44,Homme,Urbain,22479,RGPH,DNSI
1976,10,45-49,Homme,Urbain,17864,RGPH,DNSI
1976,11,50-54,Homme,Urbain,14692,RGPH,DNSI
1976,12,55-59,Homme,Urbain,10659,RGPH,DNSI
1976,13,60-64,Homme,Urbain,8630,RGPH,DNSI
1976,14,65-69,Homme,Urbain,5043,RGPH,DNSI
1976,15,70-74,Homme,Urbain,3460,RGPH,DNSI
1976,16,75-79,Homme,Urbain,2084,RGPH,DNSI
1976,17,80+,Homme,Urbain,2188,RGPH,DNSI
1976,99,ND,Homme,Urbain,125,RGPH,DNSI
1976,18,Total,Homme,Urbain,529215,RGPH,DNSI
1987,1,0-4,Homme,Urbain,149762,RGPH,DNSI
1987,2,5-9,Homme,Urbain,128986,RGPH,DNSI
1987,3,10-14,Homme,Urbain,101282,RGPH,DNSI
1987,4,15-19,Homme,Urbain,88302,RGPH,DNSI
1987,5,20-24,Homme,Urbain,72890,RGPH,DNSI
1987,6,25-29,Homme,Urbain,61829,RGPH,DNSI
1987,7,30-34,Homme,Urbain,49947,RGPH,DNSI
1987,8,35-39,Homme,Urbain,42534,RGPH,DNSI
1987,9,40-44,Homme,Urbain,34782,RGPH,DNSI
1987,10,45-49,Homme,Urbain,28804,RGPH,DNSI
1987,11,50-54,Homme,Urbain,23433,RGPH,DNSI
1987,12,55-59,Homme,Urbain,17367,RGPH,DNSI
1987,13,60-64,Homme,Urbain,14366,RGPH,DNSI
