source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010301,Bangassi,6123,5974
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010302,Colimbine,6144,6353
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010303,Diamou,7115,7015
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010304,Djelebou,11466,12091
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010305,Faleme,5141,5017
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010306,Fegui,1999,1934
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010307,Gory Gopela,3939,3927
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010308,Goumera,1918,1903
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010309,Guidimakan Keri Kaff,9798,10234
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010310,Hawa Dembaya,3406,3445
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010311,Karakoro,7436,7770
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010312,Kayes Commune,65135,61184
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010313,Kemene Tambo,8381,8574
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010314,Khouloum,9734,9260
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010315,Koniakary,4061,4080
RGPH,ML,Mali,ML01,Kayes,ML0107,Yelimane,ML010707,Konsiga,2308,2620
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010316,Koussane,10472,11118
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010317,Liberte Dembaya,7487,6879
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010318,Logo,6022,5967
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010319,Marena Diombougou,8996,9676
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010320,Marintoumania,4001,4060
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010321,Sadiola,20514,18895
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010322,Sahel,6038,6189
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010323,Same Diomboma,6245,6166
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010324,Segala,12882,12921
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010325,Sero Diamanou,11612,11727
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010326,Somankidy,3357,3558
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010327,Sony,4339,4368
RGPH,ML,Mali,ML01,Kayes,ML0103,Kayes,ML010328,Tafacirga,4634,4492
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010101,Bafoulabe,9824,9942
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010102,Bamafele,8147,8033
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010103,Diakon,16056,17700
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010104,Diallan,7285,7410
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010105,Diokeli,6572,6525
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010106,Gounfan,3563,3435
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010107,Kontela,10374,11136
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010108,Koundian,6735,7122
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010109,Mahina,12976,12926
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010110,Niambia,3715,3716
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010111,Oualia,10173,10514
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010112,Sidibela,3603,3954
RGPH,ML,Mali,ML01,Kayes,ML0101,Bafoulabe,ML010113,Tomora,15584,16627
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010201,Bema,12326,13103
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010202,Diangounte Camara,13541,14926
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010203,Dianguirde,5862,6126
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010204,Diema,15079,15391
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010205,Dieoura,5508,6253
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010206,Dioumara Koussata,3745,4118
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010207,Fassou Debe,2663,2807
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010208,Fatao,3848,4491
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010209,Gomitradougou,3638,3658
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010210,Groumera,5457,6062
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010211,Guedebine,2550,2539
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010212,Lakamane,7855,8109
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010213,Lambidou,7030,7761
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010214,Madiga Sacko,6695,7241
RGPH,ML,Mali,ML01,Kayes,ML0102,Diema,ML010215,Sansankide,2435,2538
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010401,Baye,19413,19322
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010402,Dabia,7334,7845
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010403,Dialafara,9030,8931
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010404,Dombia,3662,3920
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010405,Falea,8651,8794
RGPH,ML,Mali,ML02,Koulikouro,ML0204,Kati,ML020414,Faraba,6184,6173
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010406,Faraba,3844,3928
RGPH,ML,Mali,ML01,Kayes,ML0104,Kenieba,ML010407,Guenegore,3248,3339
