annee,milieu,code_region,region,code_cercle,cercle,code_commune,commune,code_village,localite,concessions,nbmen,hommes,femmes
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101001, KAYES N'DI,2433,4828,15864,14511
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101002, KHASSO QUINZAMBOUGOU,1085,2706,8286,8203
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101003, LAFIAB. LEGAL SEGOU,995,2425,8364,7991
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101004, LAFIABOUGOU,2124,4251,13139,12247
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101005, LIBERTE,1074,2438,9431,8902
2009, URBAIN,1,KAYES,11, KAYES,1101, KAYES,1101006, PLATEAU,1561,3160,10051,9330
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102001, BANGASSI NANGO,64,159,617,669
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102002, BAMBELLA,118,275,852,807
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102004, BANGASSI DOUDOU MAURE,96,163,436,413
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102005, BANGASSI GOPELA,79,210,840,892
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102008, DIAKALEL,313,547,1990,1831
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102009, DJIGUIDIAN GOPELA,33,80,286,289
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102013, MADINEL,59,177,532,530
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102014, SEGUE MAURE,66,131,357,354
2009, RURAL,1,KAYES,11, KAYES,1102, BANGASSI,1102015, SINTHIANE,26,54,213,189
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103001, KABATE,97,350,1249,1415
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103002, DIABOUGOU,27,91,333,357
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103003, DIALANE,100,401,1384,1402
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103004, GAMERA/GOUMERA,53,254,805,777
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103005, KANAMAKOUNOU,24,76,322,306
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103006, KOUROUKOULA,33,122,460,457
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103007, TAFACIRGA,85,302,921,885
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103008, TAKOUTALLA,59,184,521,601
2009, RURAL,1,KAYES,11, KAYES,1103, COLIMBINE,1103009, WAHIGUILOU,24,53,149,153
2009, RURAL,1,KAYES,11, KAYES,1104, DIAMOU,1104001, DIAMOU,355,524,1675,1553
2009, RURAL,1,KAYES,11, KAYES,1104, DIAMOU,1104003, BALANDOUGOU,35,54,147,144
2009, RURAL,1,KAYES,11, KAYES,1104, DIAMOU,1104005, BOUROUKOUN,42,54,180,150
