Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Kayes,ML0103,Bangassi,ML010301,1998,3351,3263,6614,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Colimbine,ML010302,1998,4828,4913,9741,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Diamou,ML010303,1998,6361,6189,12550,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Djelebou,ML010304,1998,7903,8403,16306,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Faleme,ML010305,1998,3232,3309,6541,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Fegui,ML010306,1998,1333,1355,2688,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Gory Gopela,ML010307,1998,2682,2614,5296,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Goumera,ML010308,1998,1295,1294,2589,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Guidimakan Keri Kaff,ML010309,1998,6713,7521,14234,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Hawa Dembaya,ML010310,1998,2517,2601,5118,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Karakoro,ML010311,1998,5461,6216,11677,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Kayes Commune,ML010312,1998,34236,33188,67424,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Kemene Tambo,ML010313,1998,6564,6702,13266,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Khouloum,ML010314,1998,4377,4563,8940,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Koniakary,ML010315,1998,3371,3652,7023,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Konsiga,ML010707,1998,1371,1653,3024,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Koussane,ML010316,1998,6716,7460,14176,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Liberte Dembaya,ML010317,1998,3722,3518,7240,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Logo,ML010318,1998,4743,5224,9967,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Marena Diombougou,ML010319,1998,6023,6880,12903,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Marintoumania,ML010320,1998,2797,2908,5705,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sadiola,ML010321,1998,9997,9450,19447,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sahel,ML010322,1998,3518,3914,7432,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Same Diomboma,ML010323,1998,4649,4595,9244,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Segala,ML010324,1998,9334,9433,18767,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sero Diamanou,ML010325,1998,7969,8123,16092,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Somankidy,ML010326,1998,2301,2483,4784,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Sony,ML010327,1998,3037,3291,6328,RGPH
Mali,ML,Kayes,ML01,Kayes,ML0103,Tafacirga,ML010328,1998,2788,3011,5799,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,1998,7624,7761,15385,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Bamafele,ML010102,1998,6349,6195,12544,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,1998,11343,12798,24141,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,1998,4916,5230,10146,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Diokeli,ML010105,1998,4837,5056,9893,RGPH
Mali,ML,Kayes,ML01,Bafoulabe,ML0101,Gounfan,ML010106,1998,2234,2189,4423,RGPH
